load [ft.lb],Engine speed [rpm],Injection amount [mg/stroke],Fuel Rail Pressure Measured [psi],Soot [mg/m^3]
100,1250.203237,30.99090909,15062.604,3.585971594
150,1249.880541,39.64767568,15028.79405,4.758224545
200,1249.875234,52.04514019,14371.87757,8.616081343
240,1249.86476,63.43118856,14162.91123,8.299788939
50,1490.183834,24.02101617,14247.03788,7.016395714
100,1490.014425,33.64092586,13582.99597,8.492572453
150,1489.8125,44.88083022,12810.55177,6.536378043
200,1490.05222,59.27462993,11916.93544,6.965183488
250,1494.318296,73.06027569,11177.94799,5.971665686
300,1493.985237,87.52058185,10541.13026,4.967058056
350,1494.193411,102.3842248,10286.39031,4.073926563
50,1748.792863,25.21409922,14886.65057,10.20813488
100,1749.118173,34.6193148,15225.99702,10.414142
150,1748.780293,45.19986684,13624.63338,7.647625938
200,1748.703917,58.54734285,12114.76496,6.751190714
250,1748.889963,74.50690608,11529.85912,4.198222927
300,1749.108193,88.91862745,11777.28676,3.866442857
340,1751.092977,97.58229476,12679.20772,3.317404318
50,1990.124799,26.83891319,15266.35091,10.9977828
100,1990.301614,35.70746808,14880.32426,11.91014861
150,1990.04349,47.40061745,13770.64698,8.137547344
200,1989.916618,64.56441574,11962.92601,5.716674375
250,1990.762992,79.23582677,12412.55197,4.8767684
300,1989.91416,91.4341526,13335.47212,3.983133333
60,2260.847081,31.75074987,15245.67354,10.48848
130,2260.538136,47.67445521,14249.31992,8.639769474
200,2260.761139,71.98151815,12802.77393,7.148534091
270,2260.822596,82.23104575,15867.51494,5.672381795
60,2511.510003,33.67730403,15256.13775,9.652578958
130,2510.555514,51.33304576,14984.2982,8.486741471
200,2511.025443,68.19290671,14971.76793,12.51398936
240,2511.891538,73.93423077,17230.71,8.9646378
50,995.2523874,16.33929059,10087.27149,1.857063659
75,995.2472496,21.12767805,10297.27099,2.5862025
90,995.1782838,27.16337129,11502.2802,3.103380615
50,1235.679742,19.29930145,14428.12628,2.124516842
20,1015.034086,10.86622399,10434.4232,1.104787681
40,1015.0967,15.83974947,10474.04751,1.50985759
60,1014.960852,18.90545647,10515.19664,1.906766075
80,1014.673883,26.25623485,11822.63976,2.132526055
100,1014.642948,29.32693774,12453.0285,2.799366693
120,1014.924291,33.06139395,13101.49333,3.654545981
20,1099.828061,11.71081131,12432.83364,0.984706352
40,1100.133968,17.86981842,12868.69021,1.309540672
60,1103.817591,22.40619503,13500.20765,1.496889685
80,1104.006593,25.53925824,14066.58654,2.077378897
100,1103.963526,28.97622165,14665.43184,2.593129046
120,1103.735255,32.39802509,14905.53856,3.271526171
140,1104.044571,37.37551429,15082.37514,3.470056939
160,1104.052274,41.72341871,15162.81129,3.940583906
180,1104.252657,45.52270373,15129.70155,4.870775593
200,1104.042246,50.77307793,15088.95749,5.699205695
220,1103.747925,56.34400934,14995.41572,6.897848907
280,1203.925427,73.18223718,13947.7043,6.83017763
260,1203.877642,67.47066185,14404.33815,6.547885739
240,1203.950862,61.73312061,14428.94416,6.662007118
220,1203.862221,55.94806543,14494.11576,6.73575905
200,1203.945693,51.08084672,14608.16905,6.153919869
180,1204.093016,45.52875877,14799.94633,5.1569089
160,1203.99432,41.29518685,14961.02661,4.365973548
140,1203.801991,36.62283918,15026.71372,4.357755027
120,1204.040046,32.81279745,15028.77162,3.976732006
100,1204.019714,30.92148199,15036.59755,3.370451336
80,1203.887258,28.79589726,14990.06604,2.645713067
60,1204.234731,23.63955114,14701.3223,2.154894399
40,1203.612199,15.25772244,14140.3864,1.880033413
20,1203.370852,13.24587942,14006.22428,0.955488953
20,1303.173239,13.44938028,14023.27577,1.374287233
40,1303.862995,16.33628564,14223.70108,2.530910459
60,1303.936093,23.48161899,14687.86732,3.003601263
80,1304.163193,28.96705643,14965.57499,3.433611968
100,1304.230928,30.89000591,15023.00739,3.95161235
120,1303.659356,32.88818536,15027.63035,4.438164463
140,1304.108554,36.97261166,15016.55534,4.43368792
160,1303.962751,41.7527937,14843.34491,4.833620336
180,1303.991767,45.88172894,14475.9696,5.799373238
200,1303.890578,51.49672033,14124.05933,6.640348295
220,1303.953244,56.15555098,13961.31926,7.117995761
240,1303.746636,62.00749712,13859.24337,5.296225717
260,1303.841362,68.01962169,13703.5657,2.624521774
280,1304.070138,73.42986185,13663.31243,1.820099525
300,1304.073139,79.11154477,13647.55034,1.496325353
340,1403.810964,93.17188766,11868.58358,3.446479713
320,1403.996776,87.66874874,11988.90933,3.093501403
