time,SOI,FQ,Load
0,-3.8,24.6,0.001
0.08,-3.8,24.6,123.6128978
0.16,-3.8,24.6,154.7865556
0.24,-3.8,24.6,155.2282985
0.32,-3.8,24.6,155.2838621
0.4,-3.8,24.6,155.2328435
0.48,-3.8,24.6,155.2449947
0.56,-3.8,24.6,155.2674946
0.64,-3.8,24.6,155.2987335
0.72,-3.8,24.6,155.3340526
0.8,-3.8,24.6,155.368498
0.88,-3.8,24.6,155.4066929
0.96,-3.8,24.6,155.4454583
1.04,-3.8,24.6,155.4423411
1.12,-3.8,24.6,155.4582615
1.2,-3.8,24.6,155.4920815
1.28,-3.8,24.6,155.5272997
1.36,-3.8,24.6,155.5631329
1.44,-3.8,24.6,155.5976036
1.52,-3.8,24.6,155.6309228
1.6,-3.8,24.6,155.6623748
1.68,-3.8,24.6,155.6959149
1.76,-3.8,24.6,155.7291042
1.84,-3.8,24.6,155.7585759
1.92,-3.8,24.6,155.7858841
2,-3.8,24.6,155.8100366
2.08,-3.8,24.6,155.8393558
2.16,-3.8,24.6,155.8682078
2.24,-3.8,24.6,155.8951472
2.32,-3.8,24.6,155.9266891
2.4,-3.8,24.6,155.9497051
2.48,-3.8,24.6,155.9702498
2.56,-3.8,24.6,155.999705
2.64,-3.8,24.6,156.0250916
2.72,-3.8,24.6,156.056783
2.8,-3.8,24.6,156.0776353
2.88,-3.8,24.6,156.0913025
2.96,-3.8,24.6,156.1128739
3.04,-3.8,24.6,156.1398004
3.12,-3.8,24.6,156.1689254
3.2,-3.8,24.6,156.179584
3.28,-3.8,24.6,156.1987825
3.36,-3.8,24.6,156.2198763
3.44,-3.8,24.6,156.25151
3.52,-3.8,24.6,156.2581028
3.6,-3.8,24.6,156.2756063
3.68,-3.8,24.6,156.2992871
3.76,-3.8,24.6,156.324834
3.84,-3.8,24.6,156.3319233
3.92,-3.8,24.6,156.3485362
4,-3.8,24.6,156.380522
4.08,-3.8,24.6,156.4211754
4.16,-3.8,24.6,156.3944354
4.24,-3.8,24.6,156.4146284
4.32,-3.8,24.6,156.4459192
4.4,-3.8,24.6,156.4487531
4.48,-3.8,24.6,156.4621383
4.56,-3.8,24.6,156.4949516
4.64,-3.8,24.6,156.492791
4.72,-3.8,24.6,156.5044934
4.8,-3.8,24.6,156.5352571
4.88,-3.8,24.6,156.5319749
4.96,-3.8,24.6,156.544365
5.04,-3.8,24.6,156.5723626
5.12,-3.8,24.6,156.5693436
5.2,-3.8,24.6,156.5803394
5.28,-3.8,24.6,156.6088326
5.36,-3.8,24.6,156.6052518
5.44,-3.8,24.6,156.6182979
5.52,-3.8,24.6,156.6586045
5.6,-3.8,24.6,156.6325658
5.68,-3.8,24.6,156.6514758
5.76,-3.8,24.6,156.696924
5.84,-3.8,24.6,156.6619051
5.92,-3.8,24.6,156.6889542
6,-3.8,24.6,156.6873314
6.08,-3.8,24.6,156.7013366
6.16,-3.8,24.6,156.740028
6.24,-3.8,24.6,156.7087441
6.32,-3.8,24.6,156.7287927
6.4,-3.8,24.6,156.7317133
6.48,-3.8,24.6,156.7388296
6.56,-3.8,24.6,156.7600729
6.64,-3.8,24.6,156.7532436
6.72,-3.8,24.6,156.7687962
6.8,-3.8,24.6,156.7674009
6.88,-3.8,24.6,156.7841747
6.96,-3.8,24.6,156.7815048
7.04,-3.8,24.6,156.798677
7.12,-3.8,24.6,156.7948529
7.2,-3.8,24.6,156.8107045
7.28,-3.8,24.6,156.8104607
7.36,-3.8,24.6,156.8331311
7.44,-3.8,24.6,156.8189395
7.52,-3.8,24.6,156.8285587
7.6,-3.8,24.6,156.8305822
7.68,-3.8,24.6,156.8440411
7.76,-3.8,24.6,156.840068
7.84,-3.8,24.6,156.8564166
7.92,-3.8,24.6,156.8499451
8,-3.8,24.6,156.8666157
8.08,-3.8,24.6,156.865012
8.16,-3.8,24.6,156.8804897
8.24,-3.8,24.6,156.8724498
8.32,-3.8,24.6,156.886185
8.4,-3.8,24.6,156.8826495
8.48,-3.8,24.6,156.8887407
8.56,-3.8,24.6,156.8937676
8.64,-3.8,24.6,156.9060326
8.72,-3.8,24.6,156.8982427
8.8,-3.8,24.6,156.912231
8.88,-3.8,24.6,156.9048774
8.96,-3.8,24.6,156.9179943
9.04,-3.8,24.6,156.9106038
9.12,-3.8,24.6,156.9231827
9.2,-3.8,24.6,156.9147319
9.28,-3.8,24.6,156.9189317
9.36,-3.8,24.6,156.9221376
9.44,-3.8,24.6,156.9229646
9.52,-3.8,24.6,156.9310198
9.6,-3.8,24.6,156.930026
9.68,-3.8,24.6,156.9338664
9.76,-3.8,24.6,156.9339567
9.84,-3.8,24.6,156.9396372
9.92,-3.8,24.6,156.9376131
10,-3.8,24.6,156.9425463
10,-3.8,24.6,156.9401293
10,0.3,56.5,211.7114848
10.08,0.3,56.5,269.2510608
10.16,0.3,56.5,266.2047452
10.24,0.3,56.5,267.1256375
10.32,0.3,56.5,267.5122809
10.4,0.3,56.5,267.9910042
10.48,0.3,56.5,268.4030076
10.56,0.3,56.5,268.8571328
10.64,0.3,56.5,269.2766749
10.72,0.3,56.5,269.7106236
10.8,0.3,56.5,270.1141572
10.88,0.3,56.5,270.5442707
10.96,0.3,56.5,270.9376094
11.04,0.3,56.5,271.3480434
11.12,0.3,56.5,271.730461
11.2,0.3,56.5,272.133295
11.28,0.3,56.5,272.5029805
11.36,0.3,56.5,272.8923609
11.44,0.3,56.5,273.2635277
11.52,0.3,56.5,273.6290066
11.6,0.3,56.5,273.9837098
11.68,0.3,56.5,274.3485565
11.76,0.3,56.5,274.6922932
11.84,0.3,56.5,275.0401409
11.92,0.3,56.5,275.3840074
12,0.3,56.5,275.7353836
12.08,0.3,56.5,276.0853528
12.16,0.3,56.5,276.3893696
12.24,0.3,56.5,276.7353558
12.32,0.3,56.5,277.0564269
12.4,0.3,56.5,277.3726386
12.48,0.3,56.5,277.6911823
12.56,0.3,56.5,278.0139124
12.64,0.3,56.5,278.3717159
12.72,0.3,56.5,278.6935022
12.8,0.3,56.5,279.0354124
12.88,0.3,56.5,279.3664937
12.96,0.3,56.5,279.6813457
13.04,0.3,56.5,279.9985414
13.12,0.3,56.5,280.3202788
13.2,0.3,56.5,280.6249173
13.28,0.3,56.5,280.9421732
13.36,0.3,56.5,281.2869529
13.44,0.3,56.5,281.6206191
13.52,0.3,56.5,281.950687
13.6,0.3,56.5,282.2808213
13.68,0.3,56.5,282.5907569
13.76,0.3,56.5,282.9036151
